pcba_sn_old,pcba_sn_new,component_type,specification,quantity,remark,year,shipment_date
,20120103100135,Control board DIP,SUN 3-12KW Set Series Three-Phase G06 Control Board (TI)-NO LCD-20A V2.0 1100V DIP,30,,2025,
,20120106100322,Auxiliary board DIP,SUN / / G04 RS232-RS485-Isolation-Vertical V1.3 / Yingzhen DIP,50,,2025,
,20120103100044,Control board DIP,SUN 80KW Set Series Three-Phase G03 Control Board V1.4 1000V DIP,20,,2025,
,20120201000105,Inverter Set String Heatsink,100KW-G02 Single Tube 451*300*93 1060,60,,2025,
,30090401000034,Single-head hexagonal stud,"Single head, external hexagonal, M 4mm * 10 + 6mm, no stainless steel.",120,,2025,
,30090802000001,Phillips pan head screws,"GBT818-2000 11-way slotted set assembly, M, 4mm * 14mm, nickel-plated, carbon steel",720,,2025,
,30090804000006,Hex socket set assembly,GBT70-1985 Set Assembly - Hex Socket Set Assembly - M 5mm * 15mm - Nickel Plated - Carbon Steel,970,,2025,
,30090401000090,Single-head hexagonal stud,"Single-ended external hexagonal stud, M 4mm * 92+6mm, stainless steel.",180,,2025,
,30090401000049,Single-head hexagonal stud,"Single-ended external hexagonal stud, M 4mm * 80+6mm, stainless steel, 4.8mm.",300,,2025,
,30081601000095,thermal pads,HS [Brand] Alumina Ceramic Sheet Thermal Pad 37*54*196%AL2O3 Chamfered R-angle Assembly,360,,2025,
,30081601000094,thermal pads,HS [Brand] Alumina Ceramic Sheet Thermal Pad 37*79*196%AL203 Chamfered Assembly,360,,2025,
,20120106100054,Auxiliary board DIP,SUN 100KW Set Series Three-Phase G01 PV Board V1.1 1000V DIP,60,,2025,
,20120201000151,Inverter Set String Heatsink,136KW 554.4*400*93mm 1060 Toothed Heatsink (No Adhesive) - Safety Compliance Rectification - Single Tube - For Repair,85,,2025,
,30081002000008,surge protector,GDT PTG PV-670-20M2-10 670 ±10% 20kA Hand-inserted,2700,,2025,
,30081601000114,thermal pads,"HS Gladys Aluminum Nitride Ceramic Thermal Pads 60.1*37*1mm ALN Aluminum Nitride Assembly with R3 Rounded Corners, Longitudinal",510,,2025,
,30081601000113,thermal pads,"HS Gladys Aluminum Nitride Ceramic Thermal Pads 60.1*37*1mm ALN Aluminum Nitride Assembly with R3 Rounded Corners, Horizontal",510,,2025,
,30090401000016,Single-head hexagonal stud,"Single head, external hexagonal, M 4mm * 12 + 6mm, no stainless steel.",1320,,2025,
,30090802000013,Phillips pan head three-piece set screw,GBT9074.4-1988 Phillips Pan Head Triple Set Screws M 4mm * 8mm Blue-White Zinc Carbon Steel,255,,2025,
,30080107000037,Temperature sensor,SEN New High-Tech 100K-3950-300mm-Fiberglass Tube,350,,2025,
,30221602000038,Temperature sensor,Temperature sensor 100K-3950-450mm-glass fiber tube - HGGII,85,,2025,
,20120103100193,Control board DIP,SUN 136KW Set Series Three-Phase G01 Control Board Single Tube V1.1 1000V DIP,85,,2025,
,20120106100361,Auxiliary board DIP,SUN 136KW Set Three-Phase G01 INV Silan Microelectronics V1.3 1000V DIP,85,,2025,
,20110104100107,Driver board DIP,SUN 12KW SG 02 LP2 48V Driver Board (Imported Infineon) US V1.1 DIP,3,,2025,
,20110101100307,Main Board DIP,SUN 3KW SG 04 LP1 MPPT1 24V Mainboard (18A) EU V1.8 DIP,5,,2025,
,20110104100256,Driver board DIP,SUN 12KW SG 05 LP3 MPPT2 48V Driver Board EU V1.0 Assembly Transformer DIP,7,,2025,
,20110101100306,Main Board DIP,SUN 3KW SG 04 LP1 MPPT1 48V Mainboard (18A) EU V1.8 DIP,19,,2025,
,30081601000097,thermal pads,HS Aluminum Nitride Ceramic Thermal Pads 20*30*1 ALN (Aluminum Nitride Assembly),10,,2025,
,30081601000045,thermal pads,HS alumina ceramic sheet thermal pad 37*26*1 96%AL2O3,1140,,2025,
,30081601000040,thermal pads,HS alumina ceramic sheet thermal pad 22*35*1 96%AL2O3,100,,2025,
,20110101100285,Main Board DIP,SUN 5KW SG 04 LP2 MPPT2 48V Mainboard (18A) EU V1.8 DIP,88,,2025,
,10100605000021,BMS Accessory Pack,SE-G5.3 SE-G5.3 Neutral (New),144,,2025,
,30080603000110,MOSFET,MOSFET P3M171K0K3 NMOS 1700V 1Ω 4A TO247 (hand-operated),100,,2025,
,30081602000001,heat sink,HS Xuyang AL6063 Heatsink 25*23*15 Aluminum Black Assembly,60,,2025,
,30140400000020,CR sealing ring,Rubber pad 102*119*2mm neoprene,20,,2025,
,20110106101113,Auxiliary board DIP,UN A 30KW SG 02 HP3 WIFI Board EU V1.0 DIP,20,,2025,
,30221700000076,Antenna,Ingen Data Acquisition Stick (WiFi-Bluetooth) LSW-5A5253 - Deyeyun Manual,20,,2025,
,30080202000055,Differential mode inductor,IND 100KW-580uH-2.4*2P*29T-40A-L6 580 uH K Current 40 Assembly,50,,2025,
,30080202000052,Differential mode inductor,IND 100KW-580uH-2.4*2P*29T-40A-L3 580 uH K Current 40 Assembly,50,,2025,
,30080202000054,Differential mode inductor,IND 100KW-580uH-2.4*2P*29T-40A-L5 580 uH K Current 40 Assembly,50,,2025,
,30221104000739,Inverter connection cable,Connector cable UL1015 14AWG Red Single Wire RNB2-5 Cold Terminal - RNB2-5 Cold Terminal L=380mm with marking HV,50,,2025,
,20110101100308,Main Board DIP,SUN 3.6KW SG 04 LP1 2 48V Mainboard (18A) EU V1.8 DIP,15,,2025,
,30080202000050,Differential mode inductor,IND 100KW-580uH-2.4*2P*29T-40A-L1 580 uH K Current 40 Assembly,50,,2025,
,30080202000051,Differential mode inductor,IND 100KW-580uH-2.4*2P*29T-40A-L2 580 uH K Current 40 Assembly,50,,2025,
,30080202000053,Differential mode inductor,IND 100KW-580uH-2.4*2P*29T-40A-L4 580 uH K Current 40 Assembly,50,,2025,
,20110102100151,Liquid Crystal version DIP,SUN 8KW SG 02 LP1 Liquid Crystal Plate EU V1.8 DIP,80,,2025,
,20110102100050,Liquid Crystal version DIP,SUN 15KW SG 01 HP3 Liquid Crystal Plate EU V1.5 DIP,10,,2025,
,20110102100027,Liquid Crystal version DIP,SUN 12KW SG 04 LP3 Liquid Crystal Plate (Neutral) \ V1.5 DIP,40,,2025,
,20110102100077,Liquid Crystal version DIP,SUN 12KW SG 04 LP3 Liquid Crystal Board (Neutral) / V1.0 Supercapacitor DIP,50,,2025,
,20110104100156,Driver board DIP,SUN 12KW SG 05 LP3 2 48V Driver Board EU V1.1 DIP,53,,2025,
,20110102100139,Liquid Crystal version DIP,SUN 8KW SG 02 LP1 Liquid Crystal Plate (Neutral) / V1.0 Supercapacitor DIP,55,,2025,
,20110106100365,Auxiliary board DIP,SUN 8KW SG 05 LP1 Generator Board EU V1.1 DIP,20,,2025,
,20110103100170,Control board DIP,SUN 6KW SG 04 LP1 Control Board EU V1.1B DIP,35,,2025,
,20110103100111,Control board DIP,SUN 20KW SG 01 HP3 Control Board EU V1.5 DIP,10,,2025,
,20110103100270,Control board DIP,SUN 5KW SG 03 LP1 Control Board EU V1.6 DIP,5,,2025,
,20110103100271,Control board DIP,SUN 6KW SG 03 LP1 Control Board EU V1.6 DIP,10,,2025,
,20110103100144,Control board DIP,SUN 12KW SG 04 LP3 2 48V Control Board (EMC) EU V1.6 DIP,40,,2025,
,20110104100208,Auxiliary board DIP,SUN B 50KW SG 01 HP3 Power Board (ES5) EU V1.5 DIP,10,,2025,
,20110106100533,Auxiliary board DIP,SUN 8KW SG 05 LP1 PV Co-template EU V1.2 DIP,20,,2025,
,20110106100109,Auxiliary board DIP,SUN 8KW SG 05 LP1 Relay Board EU V1.0 DIP,11,,2025,
,20110103100345,Control board DIP,SUN 8KW SG 05 LP1 Control Board 26A Domestic Microcontroller V2 EU V1.4B DIP,20,,2025,
,20110106100883,Auxiliary board DIP,SUN 8KW SG 02 LP2 Arc Plate US V2.2 DIP,20,,2025,
,20110106100380,Auxiliary board DIP,SUN 12KW SG 04 LP3 BATEMC EU V1.0 DIP,20,,2025,
,20110106100518,Auxiliary board DIP,SUN 12KW SG 05 LP3 2 48V PVEMC Board EU V1.0 DIP,20,,2025,
,20110106100274,Auxiliary board DIP,SUN 12KW SG 04 LP3 WIFI Board EU V1.1 DIP,10,,2025,
,20110106100371,Auxiliary board DIP,SUN 5KW SG 03 LP1 Battery Terminal Y Capacitor Small Board EU V1.0 DIP,10,,2025,
,20110106100300,Auxiliary board DIP,SUN 8KW SG 05 LP1 Relay Board - MSUS EU V1.0 DIP,29,,2025,
,20110106100261,Auxiliary board DIP,SUN 15KW SG 01 HP3 Interface Board EU V1.5 DIP,30,,2025,
,20110106100301,Auxiliary board DIP,SUN 12-25KW SG 01 HP3 AC Output Board EU V1.6 DIP,10,,2025,
,20110106100107,Auxiliary board DIP,SUN 8KW SG 05 LP1 Capacitor Board EU V1.0 DIP,10,,2025,
,20110106100057,Auxiliary board DIP,SUN 12KW SG 04 LP3 Capacitor Board EU V1.0 DIP,10,,2025,
,20110106100379,Auxiliary board DIP,SUN 3KWW SG 04 LP1 AC board EU V1.2 DIP,20,,2025,
,20110106100200,Auxiliary board DIP,SUN 15KW SG 01 HP3 Connector Board EU V1.1 DIP,10,,2025,
,20110106100062,Auxiliary board DIP,SUN 12KW SG 04 LP3 WIFI Board EU V1.0 DIP,50,,2025,
,20110106100567,Auxiliary board DIP,SUN 12KW SG 05 LP3 2 48V Relay Board EU V1.1 DIP,20,,2025,
,20110106100851,Auxiliary board DIP,SUN 50KW SG 01 HP3 Generator Board EU V1.4.1 DIP,20,,2025,
,20110104100103,Driver board DIP,SUN 20KW SG 01 HP3 Power Board (New Long March + Terino) EU V1.6.1 DIP,10,,2025,
,20110101100209,Main Board DIP,SUN 5-20KW SG 01 HP3 DC Input Board EU V1.6.1 DIP,10,,2025,
,20110101100160,Main Board DIP,SUN 8KW SG 02 LP1 2 48V Motherboard EU V2.4 DIP,10,,2025,
,20110101100192,Main Board DIP,SUN 12KW SG 02 LP1 2 48V Motherboard EU V1.1 DIP,10,,2025,
,20110101100318,Main Board DIP,SUN 8KW SG 05 LP1 Motherboard EU V1.9 DIP,25,,2025,
,20110104100066,Driver board DIP,SUN 50KW SG 01 HP3 Power Board (ES5) EU V1.4 DIP,20,,2025,
,20110106100759,Auxiliary board DIP,SUN 5KW SG 03 LP1 Hongfa Replacement Board EU V1.2 DIP,50,,2025,
,20110104100135,Driver board DIP,SUN 12KW SG 04 LP3 2 48V Driver Board (CH7+ES5) EU V1.6 DIP,10,,2025,
,20110104100141,Driver board DIP,SUN 8KW SG 02 LP1 2 48V Driver Board (5754 Imported) EU V1.2 DIP,10,,2025,
,20110101100272,Main Board DIP,SUN 5KW SG 03 LP1 2 48V Motherboard V2 EU V1.2 DIP,15,,2025,
,20110106101042,Auxiliary board DIP,SUN B 50KW SG 01 HP3 Relay Board EU V1.8 DIP,40,,2025,
,20110101100271,Main Board DIP,SUN 5KW SG 03 LP1 2 48V Motherboard EU V2.6 DIP,15,,2025,
,30320100000660,Accessories,High-power DC regulated power supply ETM-6030C,5,,2025,
,30270109000043,Cable ties (wire ties),"Cable ties 4*300mm, temperature resistant 180℃",15,,2025,
,30090802000009,Eleven-slot Set Assembly,GB/T9074.4-1988 11-way slotted set assembly M 4mm * 10mm galvanized carbon steel,4845,,2025,
,30221104001327,Inverter connection cable,Connector cable UL3512 12AWG Red and Black 2P RNB5.5-4 Cold Terminal 30080203000009 Toroidal Core-RNB5.5-4 Cold Terminal - L=60mm+160mm - with markings T-A1 T-A2 T-B1 T-B2,15,,2025,
,30080304000067,Electrolytic capacitors,CAP Jianghao CD286 470uF 35V M AEC 10*16-P5 2000H at 105℃ Socket,100,,2025,
,30081102000085,High-frequency switching transformer,TR Crystal Fly 40:40:40:40 EE13 L14.5W14H16 Hand-inserted,25,,2025,
,30080410000209,Chip resistors,RES Yageo 30Ω F 1/4W Standard 1206 Surface Mount,200,,2025,
,30080615000013,Schottky diode,DIODE Yangjie SS34 40V 3A SMB Surface Mount,50,,2025,
,30080605000033,triode,Q-type Crystal 2SC554 NPN 100V 2A SOT-89 surface mount,100,,2025,
,30080308000003,Surface Mount Solid Capacitors,CAP Unicon UMB1C101M0606TR 100uF 16V M Electrolytic D6.3*H6.5 2000H at125℃ Surface Mount,100,,2025,
,30080506000104,power chip,IC DIODES AZ431LANTR-G1 1.25-18Vout 100mAout ±0.5% SOT23 Surface Mount,500,,2025,
,30080517000012,op amp chip,IC TI TL074IDR 4Set SOP14 Surface Mount,700,,2025,
,30080514000024,driver chip,"Lite-On LTV-6341P IC, 30V 3A SO6, surface mount.",500,,2025,
,30080611000027,Fast recovery diode,DIODE Yangjie US2D 200V 2A 50ns SMB Surface Mount,500,,2025,
,30080611000031,Fast recovery diode,DIODE Yangjie HS1M 1000V 1A 100ns SMA Surface Mount,500,,2025,
,30080305000047,Standard surface mount capacitors,CAP SAMSUNG 106 25V K X5R 0805 Surface Mount,500,,2025,
,30080305000037,Standard surface mount capacitors,CAP SAMSUNG 103 50V K X7R 0603 Surface Mount,500,,2025,
,30080305000034,Standard surface mount capacitors,CAP SAMSUNG 105 25V K X5R 0603 Surface Mount,500,,2025,
,30080305000039,Standard surface mount capacitors,CAP SAMSUNG 102 Voltage 50V J NPO 0603 Surface Mount,500,,2025,
,30080305000075,Standard surface mount capacitors,CAP SAMSUNG CL31B106KAHNNNE 106 Voltage 25V K X7R 1206 Surface Mount,500,,2025,
,30080305000026,Standard surface mount capacitors,CAP SAMSUNG 104 50V K X7R 0805 Surface Mount,500,,2025,
,30080305000176,Standard surface mount capacitors,CAP Yageo 102 50V J NPO 0805 Surface Mount,500,,2025,
,30080513000002,comparator,IC 3PEAK LM2903AL1-SR Comparator SOP8 Surface Mount,1000,,2025,
,30080512000021,Logic chip,IC CR Silicon Technology ULN2003CB SOP16 Surface Mount,1000,,2025,
,30080305000035,Standard surface mount capacitors,CAP SAMSUNG 104 50V K X7R 0603 Surface Mount,500,,2025,
,30080410000312,Chip resistors,RES Yageo AF1206 10Ω F 1/4W Standard 1206 Surface Mount,2500,,2025,
,30080410000297,Chip resistors,RES Yageo AF1206 200K F 1/4W Standard 1206 Surface Mount,1500,,2025,
,30080410000208,Chip resistors,RES Yageo 0Ω F 1/4W Standard 1206 Surface Mount,1500,,2025,
,30080410000236,Chip resistors,RES Yageo 10K F 1/10W Standard 0603 Surface Mount,1500,,2025,
,30080410000228,Chip resistors,RES Yageo 100Ω F 1/10W Standard 0603 Surface Mount,1500,,2025,
,30080410000243,Chip resistors,RES Yageo 100K J 1/10W Standard 0603 Surface Mount,1500,,2025,
,30080410000245,Chip resistors,RES Yageo 30K F 1/10W Standard 0603 Surface Mount,1500,,2025,
,30080410000313,Chip resistors,RES Yageo AF0805 200Ω F 1/8W Standard 0805 Surface Mount,1500,,2025,
,30080410000304,Chip resistors,RES Yageo AF0805 1K F 1/8W Standard 0805 Surface Mount,1500,,2025,
,30080410000314,Chip resistors,RES Yageo AF0805 120Ω F 1/8W Standard 0805 Surface Mount,1500,,2025,
,30080410000634,Standard surface mount resistors,RES Yageo 2Ω F 1/10W Standard 0603 Surface Mount,1500,,2025,
,30080410000246,Chip resistors,RES Yageo 4.7K F 1/10W Standard 0603 Surface Mount,1500,,2025,
,30080410000278,Chip resistors,RES Yageo 1.2K F 1/8W Standard 0805 Surface Mount,1500,,2025,
,30080410000255,Chip resistors,RES Yageo 2.2K F 1/10W Standard 0603 Surface Mount,1500,,2025,
,30080410000226,Chip resistors,RES Yageo 1K F 1/10W Standard 0603 Surface Mount,1500,,2025,
,30080410000613,Standard surface mount resistors,RES Yageo RC1206FR 27Ω F 1/4W Standard 1206 Surface Mount,1500,,2025,
,30080410000294,Chip resistors,RES Yageo AF1206 1M F 1/4W Standard 1206 Surface Mount,1500,,2025,
,30080410000293,Chip resistors,RES Yageo AF1206 120Ω F 1/4W Standard 1206 Surface Mount,1500,,2025,
,30080410000356,Chip resistors,RES Yageo AF0603 5.1K F 1/10W Standard 0603 Surface Mount,1500,,2025,
,30080410000257,Chip resistors,RES Yageo 510Ω J 1/4W Standard 1206 Surface Mount,1500,,2025,
,30080410000332,Chip resistors,RES Yageo AF1206 510K F 1/4W Standard 1206 Surface Mount,1500,,2025,
,30080410000241,Chip resistors,RES Yageo 2K F 1/10W Standard 0603 Surface Mount,1500,,2025,
,30080410000350,Chip resistors,RES Yageo RC0603 20K F 1/10W Standard 0603 Surface Mount,1500,,2025,
,30080514000041,driver chip,IC Suming Semiconductor SLM343CK-DG SOP6 Surface Mount,500,,2025,
,30080308000026,solid capacitors,CAP CapXon PG470M025E058PTRZRIL 47uF 25V Medium Solid State D6.3*C7.2*L5.8*P2.2 3000H at125℃ Surface Mount,450,,2025,
,30080603000063,MOSFET,MOS UnitedSIC UJ3C120070K3S NMOS 1200V 70 25A TO-247 Hand-operated,4,,2025,
,30080803000153,socket,"CN Jiade, Xinrong XHB/BTW25004 4P 2.54mm SC PA66/Tin-plated Brass Bulk Hand-operated",50,,2025,
,30080811000015,terminal,CN Combined ATA-115-2-2P 2p Bulk Hand-inserted,20,,2025,
,30080811000016,terminal,CN Combined ATA-115-2-3P 3P Bulk Hand-inserted,20,,2025,
,30140400000173,rubber pad,"Rubber pad 128*97.7*3.3mm, silicone rubber, 100KW",300,,2025,
,30221602000037,Temperature sensor,Temperature sensor 100K-3950-200mm-glass fiber tube,100,,2025,
,30313900000006,Desoldering gun,Desoldering gun,20,,2025,
,30081002000013,surge protector,GDT Zhejiang Zhengdu PV670-20F 670 20KA Hand-operated,150,,2025,
,30080305000050,Standard surface mount capacitors,CAP SAMSUNG 105 50V K X7R 0805 Surface Mount,500,,2025,
,30081101000007,Current transformer,CT XiCi STK-20HD/P2 Hand Insertion,500,,2025,
,30081300000030,relay,RY Hongfa JZC-32F-012-HS3 12V DC 320Ω 250V 5A Manual Connector,150,,2025,
,30081102000121,High-frequency switching transformer,TR EE16HA3 4.0mH 90:105:105:105 Ferrite 18.5*22*17mm Hand-inserted,50,,2025,
,30080111000046,Current sensor,"SEN CRRC NACA.32T-P6VN, 32A current, 25mV/A sensitivity, manual insertion.",150,,2025,
,30080111000025,Current sensor,SEN XiCi STK-50-PL/A-50A,50,,2025,
,30080111000003,Current sensor,SEN LEM HLSR32-P Current 32A Sensitivity 25mV/A Hand-operated,30,,2025,
,30080601000059,IGBT,IGBT On Semiconductor FGY100T65SCDT 650V 100A TO247 Hand-operated,345,,2025,
,30080111000014,Current sensor,"SEN VAC T60404-N4646-X461 100A Current, 6.25mV/A Sensitivity, Hand-operated",50,,2025,
,30080111000004,Current transformer,SEN XiCi STK-200BS1 Current 200A Sensitivity 20mV/A Assembly,50,,2025,
,30080302000013,Thin film capacitors,CAP Farad C6AR2405KBW0550 4uF Voltage 350V K Thin Film L32W22H37P27.5 Hand-operated,30,,2025,
,30080302000016,Thin film capacitors,CAP farad C6AR8805KF10382 8uF Voltage 380V K Thin film L42W26H41P37.5 Hand-operated,200,,2025,
,30080302000042,Thin film capacitors,CAP Panasonic EZPE1B705LTB 7uF Voltage 1100V K Thin Film P27.5 Hand Insert,30,,2025,
,30080301000042,Safety capacitors,CAP EPCOS X2 225 350V M Thin Film P27.5 Hand Insert,200,,2025,
,30220405000018,Connector,Connector Dianwei VPAC06EW18-5P(SC) 33A,50,,2025,
,30221104000299,Connecting wire,UL10269 8AWG Black Single Terminal Block RNB8-5 Cold Terminal (90 degrees) - RNB8-5 Cold Terminal L730mm - with GND marking,50,,2025,
,30221104000298,Connecting wire,UL10269 8AWG Black Single Terminal Block RNB8-5 Cold Terminal (90 degrees) - RNB8-5 Cold Terminal L900mm - with GND-2 marking,50,,2025,
,30221104000297,Connecting wire,UL10269 8AWG Black Single Terminal Block RNB8-5 Cold Terminal (90 degrees) - RNB8-5 Cold Terminal L1100mm - with GND-3 marking,50,,2025,
,30221104000296,Connecting wire,UL10269 8AWG Black Single Terminal Block RNB8-5 Cold Terminal (90 degrees) - RNB8-5 Cold Terminal L630mm - with GND-4 marking,50,,2025,
,30221104000295,Connecting wire,UL10269 8AWG Black Single Terminal Block RNB8-5 Cold Terminal (90 degrees) - RNB8-5 Cold Terminal L630mm - with GND-5 marking,50,,2025,
,30221104000294,Connecting wire,UL10269 8AWG Black Single Terminal Block RNB8-5 Cold Terminal (90 degrees) - RNB8-5 Cold Terminal L630mm - with GND-6 marking,50,,2025,
,30221104000020,gray ribbon cable,UL2651 28AWG Grey 60P FC-60P-FCL360mm,50,,2025,
,30221104000164,gray ribbon cable,UL2651 28AWG Grey 60P FC-60P-FCL30mm,50,,2025,
,30221104000009,Connecting wire,UL2468 26AWG Red and White 8P XHB-8Y-PH-8Y Reverse L550mm,50,,2025,
,30080612000011,silicon carbide diode,DIODE Xiamen Sanan DS120040G2 1200V 40A TO247 Hand-operated,100,,2025,
,30080616000008,rectifier diode,DIODE Vickers E5PH6012L 1200V 60A TO247 Hand-operated,100,,2025,
,30080616000014,rectifier diode,DIODE Vishay E5PH3006L-N3 600V 60A 130ns TO247 Hand-operated,100,,2025,
,30080601000048,IGBT,IGBT New Clean Energy NCE75TD120VTP 1200V 75A TO247 Hand-plug,100,,2025,
,30080506000055,power chip,"Infineon ICE3BR2280JZ IC, 800V isolated, 65kHz, 43W, DIP7, manual insertion.",500,,2025,
,30080601000007,IGBT,IGBT Fairchild FGH40T65SHD 650V 40A TO247 Hand-operated,100,,2025,
,30080601000084,IGBT,IGBT StarPower DG50Q12T2Y 1200V 50A TO-247 Hand-operated,300,,2025,
,30080601000047,IGBT,IGBT New Clean Energy NCE40TD120VTP 1200V 40A TO247 Hand-plug,1000,,2025,
,30080506000030,power chip,IC ST 7805CV 35Vin 5Vout 1.5Aout LDO TO220 (hand-mounted),500,,2025,
,30080603000120,MOSFET,MOSFET P3M12080K4 NMOS 1200V 80mΩ@15V 38A TO247-4 (hand-operated),200,,2025,
,30080616000012,rectifier diode,DIODE Vishay EPX3007L 650V 30A TO-247 Hand-operated,300,,2025,
,30080111000010,Current sensor,SEN XiCi STK-32PL/A Current 32A Sensitivity 25mV/A Hand-operated,500,,2025,
,30081300000041,relay,RY Seidler AZSR143 12V DC 90Ω 277 43 Hand-plug,250,,2025,
,30081300000044,relay,RY Hongfa HF167F-140 12V DC 57.6Ω 800 150 Manual Plug,100,,2025,
,30221801000112,fan,"Fan, Yongyihao YY6025L12B, 12V, 0.42A, L=400mm",30,,2025,
,30221801000033,fan,"Fan, Yongli MGT6012ZB-O25（02） 12V 0.31A XHB2.54-3Y-L=250mm",30,,2025,
,30221801000108,fan,Fan: Yongli MGT6012VB-R25-XHB2.54-3Y-L=130mm 12V 1A,30,,2025,
,30221801000004,Waterproof fan,Waterproof fan NMB 09225VE12QCTYY 12V 0.92A with JST waterproof connector - L=420mm,30,,2025,
,30221801000023,fan,Fan NMB 08025SA-12R-ET 12V 0.5A L=390mm,30,,2025,
,30221801000099,fan,Fan NMB (Minebea) 08025SA-12R-AT 12V 0.5 XHB2.54-4Y L=495mm,30,,2025,
,30221801000063,fan,Fan: Yongli MGT12012ZB-O25 12V 1.1A HB-3Y-L=100mm,20,,2025,
,30080602000015,IGBT module,IGBT ON Semiconductor NXH450N65L4Q2F2S1G-D 650V 450A Hand-operated,45,,2025,
,20120106100320,Auxiliary board DIP,SUN 136KW Set Series Three-Phase G01 INV Post-Soldered Module V1.2 1000V DIP,15,,2025,
,30220501000011,push button switch,Jinhong J25-372/B/48V Circular Pushbutton Switch - Double Open/Double Closed - D25mm - IP67 - Assembly,30,,2025,
,20120106100231,Auxiliary board DIP,SUN 5KW String Single Phase G05 CON V1.1 / DIP,20,,2025,
,20120106100075,Auxiliary board DIP,SUN / Set Series Three-Phase G02 PV Board V1.3 1000V DIP,15,,2025,
,20120106100147,Auxiliary board DIP,SUN 50KW Set Series Three-Phase G04 Driver Board V1.0 1100V DIP,30,,2025,
,20120101100235,Main Board DIP,SUN 30-33KW Set Series Three-Phase G04 Motherboard V1.5 1000V PWM DIP,10,,2025,
,20120101100351,Main Board DIP,SUN 15KW Set Three-Phase G06 Motherboard - PNJ V3.3 1100V (Fuse removed) DIP,20,,2025,
,20120101100174,Main Board DIP,SUN 3-10KW Set Series Three-Phase G06 Mainboard-13A India V1.3 1000V DIP,20,,2025,
,20120103100198,Control board DIP,SUN 5KW String Single Phase G05 Single-channel Control Board V1.7 / DIP,155,,2025,
,20120103100196,Control board DIP,SUN 3KW String Single Phase G04 Control Board V1.7 / DIP,205,,2025,
,20120103100136,Control board DIP,SUN 5KW String Single Phase G05 Control Board V1.1 / 18A DIP,35,,2025,
,203010598,Control board DIP,SUN 3KW String Single Phase G03 Control Board V2.6 DIP,30,,2025,
,20120103100068,Control board DIP,SUN 136KW Set Series Three-Phase G01 Control Board V1.0 1000V DIP,50,,2025,
,20120103100008,Control board DIP,SUN 25KW Set Series Three-Phase Relay Control Board V1.4 1000V DIP,10,,2025,
,20120103100096,Control board DIP,SUN 3-12KW Set Series Three-Phase G06 Control Board (Advchip) - NO LCD 13A V1.0 1000V DIP,20,,2025,
,20120103100137,Control board DIP,SUN 36KW Set Series Three-Phase G04 Control Board 1.0 1100V PWM with Screen DIP,10,,2025,
,20120103100143,Control board DIP,SUN 25KW Set Series Three-Phase G05 Control Board V1.2 1000V TI DIP,10,,2025,
,20120103100075,Control board DIP,SUN 20KW Set Series Three-Phase G05 Control Board V1.0 1000V (Advchip) Screenless DIP,10,,2025,
,20120103100103,Control board DIP,SUN 15KW Set Series Three-Phase G06 Control Board (Advchip) - NO LCD 20A V1.1 1100V DIP,20,,2025,
,20120102100043,Liquid Crystal version DIP,SUN Universal String Single Phase G05 Liquid Crystal Board V1.4 / DIP,50,,2025,
,20120103100038,Control board DIP,SUN 3KW String Single Phase G04 Control Board V1.0 / Domestic Chip DIP,50,,2025,
,20120106100139,Auxiliary board DIP,SUN 3KW String Single Phase G04 Inductor Board V1.0 DIP,20,,2025,
,20120106100084,Auxiliary board DIP,SUN 15KW Set Series Three-Phase G01 Capacitor Board V1.0 1000V DIP,10,,2025,
,20120106100016,Auxiliary board DIP,SUN 50KW Set Series Three-Phase PV Board V1.2 1000V DIP,10,,2025,
,20120101100079,Main Board DIP,SUN 3-18KW Set Three-Phase G05 Motherboard V1.1 1000V DIP,10,,2025,
,20120102100019,Liquid Crystal version DIP,SUN LCD - Dual Communication Port Set Serial Three-Phase G03 Liquid Crystal Board V1.0 / DIP,240,,2025,
,20120102100024,Liquid Crystal version DIP,SUN / Set Serial Three-Phase G03 Dual Communication Port Crystal Board (Small Screen) V1.0 / DIP,50,,2025,
,20120103100145,Control board DIP,SUN 25KW Set Series Three-Phase G05 Control Board (Trial Production) V1.0 1100V (TI) PWM DIP,20,,2025,
,20120104100053,Driver board DIP,SUN 100KW Set Series Three-Phase G02 Driver Board V1.1 1000V IGBT DIP,74,,2025,
,20120104100022,Driver board DIP,SUN 60KW Set Series Three-Phase G02 Driver Board V1.3 1000V DIP,10,,2025,
,20120103100089,Control board DIP,SUN 4KW String Single Phase G04 Control Board V1.0 / Domestic Chip DIP,50,,2025,
,20120106100123,Auxiliary board DIP,SUN 12KW Set Series Three-Phase G06 Auxiliary Board V2.0 1000V DIP,10,,2025,
,20120104100026,Driver board DIP,SUN 60KW Set Series Three-Phase G03 Driver Board V1.0 1000V DIP,10,,2025,
,20120103100043,Control board DIP,SUN 6-10KW Set Series Three-Phase G05 Control Board / 1000V DIP,30,,2025,
,20120106100055,Auxiliary board DIP,SUN 100KW Set Three-Phase G01 Bottom Power Board V1.0 1000V DIP,40,,2025,
,20120101100003,Main Board DIP,SUN 33KW Set Series Three-Phase Motherboard V1.4 1000V DIP,10,,2025,
,20120106100057,Auxiliary board DIP,SUN 33KW Set Series Three-Phase G02 Power Supply Board V1.1 1000V DIP,10,,2025,
